edit_index,original_index,Efficacy,Generalization,Locality,Portability,composite_score
385,18521,1.0,1.0,0.8,,
386,18557,1.0,1.0,1.0,,
387,18585,1.0,0.0,0.5,,
388,18651,1.0,1.0,0.5,,
389,18672,1.0,0.5,1.0,,
390,18711,1.0,1.0,1.0,,
391,18740,1.0,0.5,0.9,,
392,18789,1.0,0.5,0.1,,
393,18812,1.0,0.0,1.0,,
394,18838,1.0,1.0,0.7,,
395,18863,1.0,0.5,0.9,,
396,18866,1.0,1.0,1.0,,
397,18881,1.0,0.0,0.9,,
398,18907,1.0,0.5,0.8,,
399,18978,1.0,0.5,1.0,,
400,19002,1.0,1.0,0.9,,
401,19121,1.0,0.5,0.7,,
402,19125,1.0,0.5,0.8,,
403,19142,1.0,1.0,1.0,,
404,19180,1.0,1.0,0.3,,
405,19214,1.0,1.0,0.9,,
406,19277,1.0,1.0,0.8,,
407,19453,1.0,0.0,0.8,,
408,19533,1.0,0.5,1.0,,
409,19548,1.0,0.5,0.9,,
410,19555,1.0,0.5,0.9,,
411,19579,1.0,0.0,0.6,,
412,19638,1.0,1.0,0.9,,
413,19739,1.0,1.0,0.4,,
414,19741,1.0,1.0,0.8,,
415,19749,1.0,0.0,1.0,,
416,19829,1.0,0.0,0.8,,
417,19838,1.0,0.5,1.0,,
418,19867,1.0,0.5,0.8,,
419,19876,1.0,1.0,1.0,,
420,19892,1.0,1.0,0.1,,
421,19999,1.0,1.0,0.7,,
422,20049,1.0,1.0,0.4,,
423,20075,1.0,0.5,0.7,,
424,20147,1.0,1.0,0.8,,
425,20163,1.0,1.0,0.7,,
426,20264,1.0,0.0,0.9,,
427,20345,1.0,0.0,1.0,,
428,20349,1.0,0.75,0.9,,
429,20408,1.0,1.0,1.0,,
430,20464,1.0,1.0,0.7,,
431,20560,1.0,1.0,0.6,,
432,20586,1.0,0.5,0.7,,
433,20689,1.0,1.0,0.5,,
434,20700,1.0,1.0,0.7,,
435,20707,1.0,0.5,0.9,,
436,20747,1.0,0.5,1.0,,
437,20749,1.0,1.0,0.9,,
438,20782,1.0,1.0,0.4,,
439,20860,1.0,1.0,0.9,,
440,20894,1.0,0.0,0.9,,
441,20896,1.0,1.0,0.8,,
442,20936,1.0,1.0,0.0,,
443,20971,1.0,1.0,0.9,,
444,21010,1.0,0.5,0.9,,
445,21019,1.0,1.0,0.7,,
446,21059,1.0,1.0,1.0,,
447,21063,1.0,1.0,1.0,,
448,21069,1.0,1.0,0.9,,
449,21085,1.0,0.5,0.7,,
450,21124,1.0,0.5,1.0,,
451,21129,1.0,1.0,0.6,,
452,21172,1.0,1.0,0.8,,
453,21218,1.0,0.0,0.9,,
454,21365,1.0,0.5,0.9,,
455,21412,1.0,1.0,1.0,,
456,21519,1.0,1.0,0.9,,
457,21589,1.0,1.0,0.8,,
458,21640,1.0,1.0,0.9,,
459,21665,1.0,1.0,0.1,,
460,21668,1.0,1.0,0.8,,
461,21737,1.0,0.5,0.8,,
462,21747,1.0,0.0,0.9,,
463,21770,1.0,1.0,0.5,,
464,21788,1.0,0.0,0.2,,
465,21794,1.0,0.5,0.7,,
466,21854,1.0,0.0,0.8,,
467,21890,1.0,0.5,1.0,,
MEAN,,1.0,0.7275641025641025,0.7655982905982905,,0.8150806538087791
N,,468.0,468.0,468.0,0,
